business,website,city,dated_clue,contact_name,email,status,sent_date,reply,package,notes
Advantage PrintRoom,https://www.advantageprintroom.co.uk/,Bracknell / Berkshire,Bracknell print room - relatively current (Yell listing embeds only),,sales@advantageprintroom.co.uk,researched,,,,Wave 15 backlog
LDJ Sheet Metal,https://ldjmetal.co.uk/,Reading / Berkshire,Reading laser / sheet metal - relatively current,,sales@ldjmetal.co.uk,researched,,,,Wave 15 backlog
Arben Precision Sheet Metal,https://arben.co.uk/,Wokingham / Berkshire,Wokingham precision sheet metal - relatively current,,sales@arben.co.uk,researched,,,,Wave 15 backlog
J&R Fabrications,https://www.jandrfabsltd.co.uk/,Wokingham / Berkshire,Wokingham metalwork fabricators - relatively current,,info@jandrfabsltd.co.uk,researched,,,,Wave 15 backlog
Holt Broadcast Services,https://www.holtbroadcast.co.uk/,Reading / Berkshire,Reading precision sheet metal - relatively current,,info@holtbroadcast.co.uk,researched,,,,Wave 15 backlog
Packaging Supplies Ltd,https://www.pack-supplies.co.uk/,Thatcham / Berkshire,Thatcham packaging supplies - relatively current,,sales@pack-supplies.co.uk,researched,,,,Wave 15 backlog
Swiftpak,https://www.swiftpak.co.uk/,Reading / Berkshire,Reading wholesale packaging - relatively current,,sales@swiftpak.co.uk,researched,,,,Wave 15 backlog
Air Ducts Southern,https://airductssouthern.com/,Berkshire,Berkshire ductwork manufacturing - relatively current,,mail@airductssouthern.com,researched,,,,Wave 15 backlog
Benville and Marsh,https://www.benvilleandmarsh.co.uk/,Bracknell / Berkshire,Berkshire electrical contractor - relatively current,,info@benvilleandmarsh.co.uk,researched,,,,Wave 15 backlog
Adlard Print,https://www.adlardprint.com/,Ruddington / Nottingham,Dreamweaver MM_swapImage rollovers still on contact page; live Fax 0115 945 6474,,info@adlardprint.com,draft,,,,Wave 17 East Midlands
M&G Joiners,http://www.mandgjoinery.co.uk/,Leicester,Dreamweaver MM_swapImage XHTML brochure; live Fax 0560 116 3400 on contact,,info@mandgjoinery.co.uk,draft,,,,Wave 17 East Midlands
Designer Metals,https://designer-metals.co.uk/,Leicester,IE6/7/8 conditionals + respond.js; live Fax 0116 326 6060,,sales@designer-metals.co.uk,draft,,,,Wave 17 East Midlands
Microset Products,https://www.microset.co.uk/,Hinckley / Leicestershire,googlecode html5shiv + IE6/7/8 conditionals; live Fax +44 (0) 1455 613287,,uk@socomore.com,draft,,,,Wave 17 East Midlands
Seths Estate Agents,https://www.seths.co.uk/,Leicester,css3-mediaqueries.js still loaded from googlecode SVN behind IE lt 9,,sales@seths.co.uk,draft,,,,Wave 17 East Midlands
Full Metal Fabrications,http://www.fullmetalfabs.co.uk/,Oadby / Leicester,Live Fax 0116 2716210 on contact page for HVAC ductwork fabricator,,sales@fullmetalfabs.co.uk,draft,,,,Wave 17 East Midlands
PAR Fabrication Engineers,https://www.parjacks.co.uk/,Nottingham,html5shiv.js behind IE lt 9; live FAX 0115 940 0714 on Colwick footer,,info@parjacks.com,draft,,,,Wave 17 East Midlands
Conley Ward,http://www.conleyward.com/,Syston / Leicestershire,Live FAX 0116 260 0041 in header table; Copyright 2014 on Joomla shell,,tax@conleyward.com,draft,,,,Wave 17 East Midlands
Davpack,https://www.davpack.co.uk/,Derby,XHTML 1.0 Transitional doctype still live; Fax 01332 821209 in header,,sales@davpack.co.uk,draft,,,,Wave 17 East Midlands
Dalta Manufacturing,https://www.dalta.co.uk/,Leicester,Live Fax (0116) 276 0818; lte IE 7/8 conditionals still on live shell,,office@dalta.co.uk,draft,,,,Wave 17 East Midlands
F.B. Ross & Co,http://www.fbrossandcoltd.co.uk/,Blaby / Leicester,Live Fax 0116 2779986 on every page footer,,scott.hunt@fbross.co.uk,researched,,,,Wave 17 East Midlands - electrical contractor
Timms Solicitors,https://www.timms-law.com/,Derby / Ashby / Burton / Swadlincote,Live Fax on all four Midlands office blocks (Derby Fax 01332 293510),,legal@timms-law.com,researched,,,,Wave 17 East Midlands
The Packaging Company,https://thepackagingcompany.co.uk/,Leicester,Live Fax 0116 2313344 on homepage and contact,,sales@thepackagingcompany.co.uk,researched,,,,Wave 17 East Midlands
Shapcotts Accountants,https://www.shapcotts-accountants.co.uk/,Derby,Live Fax 01332 662758 on contact strip,,admin@shapcotts-accountants.co.uk,researched,,,,Wave 17 East Midlands
Rich & Carr,https://richandcarr.co.uk/leicester/,Leicester,Live FAX 0116 253 7427 on Leicester office page,,enquiries@richandcarr.co.uk,researched,,,,Wave 17 East Midlands
Trinity Engineering,https://www.steelfabricatorsnorthampton.co.uk/,Northampton,Schema faxNumber 01604 716660 still published beside phone,,elaine@trinityengnorth.co.uk,researched,,,,Wave 17 East Midlands
Lesta Packaging,https://www.lesta.co.uk/,Leicester,Live Fax 0116 262 4448 beside Tel 0116 262 4449,,info@lesta.co.uk,researched,,,,Wave 17 East Midlands
Broomleys Joinery,https://www.broomleysjoinery.co.uk/,Coalville / Leicestershire,lte IE 8 responsive stylesheet conditional still live,,info@broomleysjoinery.co.uk,researched,,,,Wave 17 East Midlands
Moore Tibbits,https://www.mooreandtibbits.co.uk/,Warwick / East Midlands fringe,Live Fax 01926 402692 on homepage contact strip,,email@moore-tibbits.co.uk,researched,,,,Wave 17 East Midlands fringe
Aircon Mechanical,https://www.aircon-mechanical.co.uk/,Blaby / Leicester,Live Fax 01162 787600 + IE6/7/8 conditionals (site intermittently 502),,info@airconmechanical.co.uk,researched,,,,Wave 17 East Midlands - verified earlier in run
Gregg White Printers,https://greggwhiteprinters.co.uk/,Leicester,Thin single-page brochure; Copyright 2021; no clear quote CTA,,info@greggwhiteprinters.co.uk,researched,,,,Wave 17 East Midlands - weaker clue
CNC Punching Ltd,https://cncpunching.co.uk/,Leicester,Relatively current WordPress; production@ only public email,,production@cncpunching.co.uk,researched,,,,Wave 17 East Midlands - weak / modern
KR Ducting,https://krducting.com/,Leicester,Copyright 2021 ductwork site; form-led quote path,,sales@krducting.com,researched,,,,Wave 17 East Midlands - weaker clue
Blunts Joinery Supplies,https://www.bluntsjoinerysupplies.co.uk/,Leicester,XHTML 1.0 shell; Copyright 2014; no public email found,,,researched,,,,Wave 17 East Midlands - no email
Alpha Air Fabrications,http://www.alphaairfabrications.co.uk/,Leicester,Thin Copyright 2017 single-page ductwork site; phone/form only,,,researched,,,,Wave 17 East Midlands - no email
Evolution Sheet Metal,http://www.evosml.co.uk/1615.html,Bury / Ramsey / Cambridgeshire,Flash Favor template contact page still has hasFlashNavigation; live Fax 01487 710674,,info@evosml.co.uk,draft,,,,Wave 18 Cambridgeshire
Anstee Gorst,https://www.ansteegorst.co.uk/,St Neots / Cambridgeshire,XHTML 1.0 Transitional doctype still live; Fax 01480 471613 in footer,,office@ansteegorst.co.uk,draft,,,,Wave 18 Cambridgeshire
ECL Ductwork,https://ecl-ductwork.co.uk/,Soham / Ely,scripts/html5shiv.js still loaded; Copyright 2018 in footer,,info@ecl-ductwork.co.uk,draft,,,,Wave 18 Cambridgeshire
Adams & Newman,https://www.adamsandnewman.co.uk/,Swavesey / Cambridge,Cufon.yui.js font replacement still drives headings; no viewport meta,,andrewadams@adamsandnewman.co.uk,draft,,,,Wave 18 Cambridgeshire
Border Engineering,https://www.borderengineering.co.uk/contact.php,Luton / Beds fringe,Live Fax (01582) 485 155 on contact.php beside Telephone (01582) 415 933,,sales@borderengineering.co.uk,draft,,,,Wave 18 Beds fringe leftover
Shearline,https://shearline.co.uk/,Ely / Cambridgeshire,IE lt 9 / IE 9 conditionals with lt-ie7 lt-ie8 lt-ie9 classes still on live shell,,sales@shearline.co.uk,draft,,,,Wave 18 Cambridgeshire
Rothmere,https://www.rothmere.com/,Huntingdon / Cambridgeshire,Holding page still publishes placeholder Tel +44 (0)1234 567890 beside info@,,info@rothmere.com,draft,,,,Wave 18 Cambridgeshire
Hitec,https://www.hitec.co.uk/,Soham / Cambridgeshire,Live Fax 01353 624 262 beside Tel 01353 624 101,,info@hitec.co.uk,draft,,,,Wave 18 Cambridgeshire
M&J Engineering,https://m-j-engineering.com/,Soham / Cambridgeshire,Live Fax 01353 968433 on contact block beside Phone 01353 968267,,jon@m-j-engineering.com,draft,,,,Wave 18 Cambridgeshire
Peterborough Sheet Metal,https://peterboroughsheetmetal.co.uk/contact/,Peterborough,Live Fax 01733 898 421 on contact page beside Phone 01733 344 880,,psmltd@live.co.uk,draft,,,,Wave 18 Cambridgeshire
Ely Print Centre,https://www.elyprint.co.uk/,Ely / Cambridgeshire,Live Fax 01353 666350 on homepage beside Tel 01353 666349,,print@elyprint.co.uk,researched,,,,Wave 18 Cambridgeshire
GLW Engineering,https://www.glwengineering.co.uk/contact/,Wisbech / Cambridgeshire,Live Fax 01945 464 647 on contact page beside Telephone 01945 464 637,,info@glwengineering.co.uk,researched,,,,Wave 18 Cambridgeshire
Fine & Country St Neots,https://www.fineandcountry.co.uk/st.-neots-estate-agents,St Neots / Cambridgeshire,Live Fax +441480 219448 on St Neots branch page,,inresidence@fineandcountry.com,researched,,,,Wave 18 Cambridgeshire
Jacowe Joinery,https://www.jacowejoineryltd.co.uk/,Godmanchester / Huntingdon,Thin craftsman brochure; phone/email only on live shell,,peter@jacowejoinery.co.uk,researched,,,,Wave 18 Cambridgeshire
Regal Joinery,https://regaljoinery.co.uk/,Soham / Ely,Footer still reads Copyright 2016 Regal Joinery Ltd,,info@regaljoinery.co.uk,researched,,,,Wave 18 Cambridgeshire
Peterborough Roofing,https://www.peterboroughroofing.co.uk/,Peterborough,jquery-1.9.1.min.js still loaded on live shell,,office@peterboroughroofing.co.uk,researched,,,,Wave 18 Cambridgeshire
R Howard Ltd,https://www.rhoward.co.uk/,Peterborough,Thin single-page printed carton brochure; phone/email only,,enquiries@rhoward.co.uk,researched,,,,Wave 18 Cambridgeshire
Paxton Sheet Metal,https://www.paxtonsheetmetal.co.uk/,St Neots / Cambridgeshire,St Neots fabricators - relatively current Wix,,mail@paxtonsheetmetal.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
FabTech Sheet Metal,https://fabtechsheetmetal.co.uk/,Crowland / Peterborough,Crowland sheet metal - relatively current,,sales@fabtechsheetmetal.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
SM Joinery,https://www.smbespokejoinery.co.uk/,Wisbech / Cambridgeshire,Wisbech CNC joinery - relatively current,,sales@smbespokejoinery.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
Qualitetch,https://www.qualitetch.com/,March / Cambridgeshire,March chemical etching - relatively current,,sales@qualitetch.com,researched,,,,Wave 18 Cambridgeshire - weak / modern
Adcock Refrigeration,https://www.adcock.co.uk/peterborough,Peterborough,Peterborough HVAC branch - relatively current,,enquiries@adcock.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
Black Cat Residential,https://www.blackcatresidential.co.uk/,Wisbech / Cambridgeshire,Wisbech estate agents - relatively current,,info@blackcatresidential.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
Moore Thompson,https://www.moorethompson.co.uk/,Peterborough / Wisbech,Peterborough / Wisbech accountants - relatively current,,admin@mooret.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
RGS Labels,https://www.rgslabels.co.uk/,Huntingdon / Cambridgeshire,Huntingdon digital labels - relatively current,,sales@rgslabels.co.uk,researched,,,,Wave 18 Cambridgeshire - weak / modern
Barum & Dewar,https://barumanddewar.com/,Barnstaple / Devon,jquery-1.8.3 + html5shiv/respond still loaded; live Fax +44 (0)1271 344870 on contact,,enquiries@barumanddewar.com,draft,,,,Wave 19 Somerset Dorset Exeter
Kingsbere Accountants,https://www.kingsbereaccountants.co.uk/,Blandford Forum / Dorset,XHTML 1.0 Transitional doctype still live; Fax 01258 830281; Copyright 2016,,office@kingsbere.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Traditional Windows,https://www.traditional-windows.co.uk/,Honiton / Devon,XHTML 1.0 Strict doctype; jquery-1.5.1.min.js; Copyright 2014,,info@traditional-windows.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Chaffers,https://www.chaffers.co.uk/,Blandford / Dorset,html5shiv still loaded from html5shiv.googlecode.com/svn/trunk,,sales@chaffers.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Sheppard Rockey & Williams,https://www.srwaccountants.co.uk/,Exminster / Exeter,Live Fax 01392 824838; html5fallback.js still loaded for old IE,,enquiries@srwaccountants.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Bancombe Joinery,https://www.bancombejoinery.co.uk/,Somerton / Somerset,oss.maxcdn html5shiv 3.7.2 + respond 1.4.2 still loaded,,sales@bancombejoinery.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Stafford and Coomber,https://www.staffelec.co.uk/,Taunton / Somerset,oss.maxcdn html5shiv 3.7.2 + respond 1.4.2 still loaded,,info@staffelec.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Western Fabrications,https://www.westernfab.co.uk/,Taunton / Somerset,lt-ie7/8/9 classes; Copyright 2018; modernizr-respond 1.4.2,,sales@westernfab.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Grant Sellers,https://grantsellers.co.uk/,Verwood / Dorset,Theme html5shiv.min.js + respond.min.js still loaded for lt IE 9,,info@grantsellers.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Corhaven,https://www.corhaven.co.uk/,Poole / Dorset,Live Fax 01202 670265 beside Tel 01202 671449,,info@corhaven.co.uk,draft,,,,Wave 19 Somerset Dorset Exeter
Taunton Solicitors,https://tauntonsolicitors.com/,Taunton / Somerset,Live Fax 01823 335701 on contact block,,info@tauntonsolicitors.com,researched,,,,Wave 19 Somerset Dorset Exeter
Lawrences Auctioneers,https://www.lawrences.co.uk/,Crewkerne / Somerset,Live Fax 01460 279969 on contact page,,enquiries@lawrences.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter
M D Fabrication,http://www.steelfabricationdevon.co.uk/,Cullompton / Devon,html5shiv.min.js + respond.min.js still loaded for lt IE 9,,info@steelfabricationdevon.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter
RH Fibreboard,https://rhfibreboard.co.uk/,Wellington / Somerset,lt-ie9 / lt-ie8 / lt-ie7 classes still on live shell,,hello@rhfibreboard.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter
Porter Dodson Yeovil,https://www.porterdodson.co.uk/solicitors-yeovil,Yeovil / Somerset,Live Fax 01935 706063 on Yeovil branch page,,info@porterdodson.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter
G L Joinery and Kitchens,https://www.gljoinerykitchens.co.uk/,Chard / Somerset,IE8 PIE.php CSS conditional still live on Mantra theme,,info@gljoinerykitchens.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter
Monk Woodworking,https://monkwoodworking.co.uk/,Yeovil / Somerset,Yeovil joinery - relatively current WordPress,,info@monkwoodworking.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Arc Fabrications Taunton,https://arc-fabrication.co.uk/,Taunton / Somerset,Taunton fabricators - relatively current,,info@arc-fabrication.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Dorset Sheet Metal,https://dorsetsheetmetal.uk/,Dorset,Dorset ductwork manufacturer - relatively current,,enquiries@dsmp.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Meridian Ventilation,https://www.meridianventilation.co.uk/,Bournemouth / Dorset,Bournemouth HVAC fabricator - relatively current,,info@meridianvent.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Wyvern Joinery,https://www.wyvernjoineryltd.co.uk/,Yeovil / Somerset,Yeovil joinery - relatively current,,conner@wyvernjoineryltd.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Hotchkiss Warburton,https://www.hotchkiss-warburton.co.uk/,Crediton / Devon,Crediton solicitors - relatively current,,enquiries@hotchkiss-warburton.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
QuickPrint,https://www.quickprint.co.uk/,Exeter / Devon,Exeter printers - relatively current,,hello@quickprint.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Orchid Print,https://www.orchidprint.com/,South West,SW print company - relatively current,,enquires@orchidprint.com,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Wiveliscombe Joinery,https://www.wiveliscombejoinery.co.uk/,Wiveliscombe / Somerset,Wiveliscombe joinery - relatively current,,contact@wiveliscombejoinery.co.uk,researched,,,,Wave 19 Somerset Dorset Exeter - weak / modern
Prestige Packaging,https://www.prestigepkg.co.uk/,Plympton / Plymouth,lt-ie7/8/9 classes; html5shiv + respond.min for lt IE 9; jquery 1.5.2; viewport width=1105,,sales@prestigepkg.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Bennett Jones and Co,https://www.bennettjonesandco.co.uk/,Bodmin / St Austell,html5shiv still loaded from googlecode SVN trunk; jquery-1.7.1; Fax 01726 69878,,enquiries@bjandco.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Cornwall Homeseekers,https://www.cornwall-homeseekers.co.uk/,Truro / Cornwall,Live Fax 01872 273432 on Contact-Us; jquery-1.9.1 + html5shiv.js; IE8 Alert still live,,N.Collenette@cornwall-homeseekers.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Cornish Stairways,https://cornishstairways.com/,Penryn / Cornwall,lt-ie7/8/9 classes; html5shiv still loaded from googlecode SVN trunk,,mikejordan@cornishstairways.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Westcountry Fabrication,https://www.westcountryfabrication.co.uk/,Plymouth,modernizr-2.5.3-respond-1.1.0 + jquery-1.10.1; live Fax 08723 527204; Copyright 2014,,sales@westcountrygroup.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Torbay Steel Fabrications,https://www.torbaysteelfabrications.co.uk/,Paignton / Torbay,XHTML 1.0 Strict doctype still live; Copyright 2010 in footer,,david@torbaysteel.com,draft,,,,Wave 20 Cornwall Plymouth Torquay
Grylls and Paige,http://www.gryllsandpaige.co.uk/,Redruth / Cornwall,Concrete5 html5-shiv + respond for lt IE 9; live Fax 01209 219677,,law@grylls-paige.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Nalders Solicitors,https://nalders.co.uk/,Truro / Cornwall,Contact pages still publish live Fax across Truro St Austell Falmouth Newquay Camborne Helston Penzance,,postmaster@nalders.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Toulsons Accountancy,http://www.toulsonsaccountancy.co.uk/,Newton Abbot / Torbay,Contact still lists Telephone/Fax: 01626 873065 as one line,,Wendy@toulsonsaccountancy.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
Bond Joinery,https://www.bondjoinery.co.uk/,Totnes / South Devon,Thin dated shell; old jquery camera slider stack; Copyright 2017,,info@bondjoinery.co.uk,draft,,,,Wave 20 Cornwall Plymouth Torquay
RRL Cornwall,https://www.rrlcornwall.co.uk/,Truro / Penzance,HTML 4.01 Strict doctype still served on live accountants site,,post@rrlcornwall.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay
Rowse Electrical,https://www.rowse.co.uk/,Plymouth,Site still loads jquery-2.1.3.min.js on live electrical wholesaler,,sales@rowse.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay
Redborne Printers,https://www.redborneprinters.co.uk/,Cornwall,Cornwall box makers / printers - relatively current Wix,,redborneprinters@gmail.com,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Tamar Packaging,https://www.tamarpackaging.co.uk/,Tavistock / Devon,Tamar Valley carton packaging - relatively current,,sales@tamarpackaging.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Hayman Joinery,https://www.haymanjoinery.co.uk/,Ivybridge / Devon,Ivybridge joinery - relatively current Elementor,,info@haymanjoinery.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Camel Glass and Joinery,https://camelglass.co.uk/,Wadebridge / Cornwall,Wadebridge glass and joinery - relatively current,,sales@camelglass.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Plymouth and Devon Metal Fabrication,https://www.plymouth-metal.co.uk/,Plympton / Plymouth,Plympton metal fabricators - relatively current,,sales@plymouth-metal.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Metal Solutions SW,https://metal-solutions.co.uk/,Plymouth,Plymouth metal fabricators - relatively current,,info@metal-solutions.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Air Vent Services,https://airventservices.co.uk/,Lee Mill / Devon,Devon Cornwall ductwork - relatively current,,info@airventservices.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Rawlings Joinery,https://www.rawlingsjoinery.co.uk/,Plymouth,Plymouth joinery - relatively current,,admin@rawlingsjoinery.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
St Austell Printing Company,https://sapc.co.uk/,St Austell / Cornwall,St Austell printers - relatively current,,info@sapc.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Alderman Tooling,https://www.aldermantooling.co.uk/,Plymouth,Plymouth sheet metal - relatively current,,,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Westcountry Fabrication Ltd Saltash,https://www.westcountryfabricationltd.co.uk/,Saltash / Cornwall,Saltash structural steel - relatively current,,sales@westcountryfabricationltd.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
CE Metal Fabrications,https://www.cemetalfabrications.co.uk/,Liskeard / Cornwall,Liskeard metal fabricators - relatively current,,steelwork@cemetalfabrications.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Purnells,https://www.purnells.co.uk/,Penryn / Cornwall,Penryn insolvency practitioners - relatively current,,help@purnells.co.uk,researched,,,,Wave 20 Cornwall Plymouth Torquay - weak / modern
Emmet J Kelly and Co,https://emmetjkelly.com/,Banbridge / Co Down,html5shiv still loaded from html5shiv.googlecode.com/svn/trunk,,law@emmetjkellysolicitors.com,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Gerard Maguire Solicitors,https://gmaguiresolicitors.co.uk/,Portadown,html5shiv 3.7.2 + jquery 1.10.1; live Fax (028) 3839 3489 on contact,,info@gmaguiresolicitors.co.uk,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Francis Hanna and Co,https://www.fhanna.co.uk/,Belfast,jquery 1.10.2 still loaded; live Fax +44 (0)28 9024 4215,,info@fhanna.co.uk,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Worthingtons Solicitors,https://www.worthingtonslaw.co.uk/,Belfast / Newtownards,html5shiv 3.7.2 + Respond.js; live F: 028 9043 4016 on Contact Us,,info@worthingtonslaw.co.uk,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Jones Estate Agents,https://www.jonesestateagents.com/,Lurgan,lt-ie10/9/8/7 classes; html5shiv 3.7.3 + respond.min.js + modernizr-2.6.2,,info@jonesestateagents.com,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
McFarland Graham McCombe,https://mgmsolicitors.com/,Lisburn,html5shiv.min.js still loaded; live Fax 028 9260 7472,,mgm@nilaw.co.uk,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Best Property Services,https://www.bestpropertyservices.com/,Newry,lt-ie10/9/8/7 classes; html5shiv 3.7.3 + respond.min.js,,info@bestpropertyservices.com,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
OKane Brothers,https://www.okanebrothers.co.uk/,Omagh,lt-ie10/9/8/7 classes; html5shiv 3.7.3 + respond.min.js,,info@okanebrothers.co.uk,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Farrell and Farrell,https://www.farrellca.com/,Hilltown / Newry,Live Fax 028 4063 2648 on contact page,,info@farrellca.com,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Felix OHare,https://www.felixohare.com/,Newry,html5shiv.js + jquery-1.9.1.js still loaded,,admin@felixohare.com,draft,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Thompson Mitchell,https://thompsonmitchell.co.uk/,Portadown / Hillsborough,Live Fax 028 3835 0950 (Portadown) and 028 9268 8187 (Hillsborough),,reception@thompsonmitchell.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
McCleary and Co,https://mcclearyaccountants.com/,Lurgan / Lisburn,jquery-1.7.2.min.js still loaded on live accountants site,,info@mcclearyaccountants.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
McShane and Co,https://www.mcshaneandco.com/,Newry / Kilkeel,Live Fax +44(0)28 3026 9492 on Newry office block,,info@mcshaneandco.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
McConnell and Fyffe,https://www.mcconnellandfyffe.co.uk/,Omagh,Live Fax 028 8224 9217 on contact page,,law@mcconnellfyffe.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Tim Martin and Co,https://www.timmartin.co.uk/,Lisburn,html5shiv.js + respond.js still loaded,,info@timmartin.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Fred Dalzell,https://www.dalzellproperty.com/,Portadown,html5shiv.js + respond.js still loaded,,info@freddalzell.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Johns Elliot,https://www.johnselliot.com/,Belfast,jquery-1.9.1.min.js still loaded,,info@johnselliot.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
MKB Law,https://mkblaw.co.uk/,Belfast,html5shiv.js still loaded for old IE,,info@mkblaw.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Lennon Toner ONeill,https://www.lennontoneroneillsolicitors.co.uk/,Armagh,Live Fax 02837528587 on homepage contact block,,solicitors@lton.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Gibson Bros,https://gibsonbros.co.uk/,Banbridge,lt-ie9 / lt-ie8 / lt-ie7 classes still on live shell,,enquiries@gibsonbros.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Ulster Property Sales,https://www.ulsterpropertysales.co.uk/,Belfast / NI,html5shiv.js + respond.js still loaded across branch pages,,lisburnroad@ulsterpropertysales.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Tughans,https://www.tughans.com/,Belfast,jquery 1.11.3 still loaded on live solicitors site,,law@tughans.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Patrick Park Solicitors,https://www.pparksolicitors.co.uk/,Lurgan,Copyright (c) 2015 still in footer,,info@pparksolicitors.co.uk,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
L Kerr and Co,https://www.lkerrandco.com/,Armagh,Copyright (c) 2015 still in footer,,liam@lkerrandco.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh
Clanrye Electrical,https://clanryeelectrical.com/,Newry,Newry electrical wholesaler - relatively current,,info@clanryeelectrical.com,researched,,,,Wave 23 NI second pass Lisburn Newry Portadown Omagh - weak / modern
Wyvern Sheet Metal,https://www.wyvernsheetmetal.co.uk/,Worcester,html5shiv from googlecode SVN trunk; Copyright 2013; Fax 01905 753599,,sales.wyvernsheetmetal@btconnect.com,draft,,,,Wave 24 Shropshire Hereford Worcester
Dero Fabrication,http://www.dero.co.uk/,Worcester,HTML 4.01 Transitional; Fax 01905 754152,,sales@dero.co.uk,draft,,,,Wave 24 Shropshire Hereford Worcester
